./figures/train
Iterate [215]: time: 42.4899, d_loss: 2.39460301, g_loss: 4.65959978, flux: 0.00062881
Iterate [216]: time: 42.6705, d_loss: 1.19555676, g_loss: 4.82388878, flux: 0.00045979
Iterate [217]: time: 42.8515, d_loss: 0.56216365, g_loss: 8.29241562, flux: 0.00040108
Iterate [218]: time: 43.0322, d_loss: 0.64003289, g_loss: 11.13067436, flux: 0.00043503
Iterate [219]: time: 43.2143, d_loss: 2.67698407, g_loss: 8.62416458, flux: 0.00078177
Iterate [220]: time: 43.3947, d_loss: 1.57450247, g_loss: 4.84000683, flux: 0.00049360
Iterate [221]: time: 43.5751, d_loss: 0.61136395, g_loss: 6.51676083, flux: 0.00058268
Iterate [222]: time: 43.7553, d_loss: 0.15245530, g_loss: 7.39156199, flux: 0.00065663
Iterate [223]: time: 43.9360, d_loss: 1.34944868, g_loss: 5.53822231, flux: 0.00067619
Iterate [224]: time: 44.1163, d_loss: 4.09506226, g_loss: 3.49454880, flux: 0.00084164
Iterate [225]: time: 44.2976, d_loss: 5.15337086, g_loss: 3.49756169, flux: 0.00094895
Iterate [226]: time: 44.4777, d_loss: 2.17771935, g_loss: 5.94432592, flux: 0.00114008
Iterate [227]: time: 44.6584, d_loss: 1.43299913, g_loss: 7.39523554, flux: 0.00140170
Iterate [228]: time: 44.8383, d_loss: 2.44623017, g_loss: 5.88794422, flux: 0.00108882
Iterate [229]: time: 45.0189, d_loss: 1.57673728, g_loss: 4.62991714, flux: 0.00100603
Iterate [230]: time: 45.2002, d_loss: 2.79090047, g_loss: 5.73153114, flux: 0.00084446
Iterate [231]: time: 45.3805, d_loss: 0.89127338, g_loss: 5.35071945, flux: 0.00073203
Iterate [232]: time: 45.5609, d_loss: 1.36385763, g_loss: 5.09826326, flux: 0.00050539
Iterate [233]: time: 45.7413, d_loss: 0.99482238, g_loss: 3.93995333, flux: 0.00044164
Iterate [234]: time: 45.9218, d_loss: 1.35474730, g_loss: 3.91125441, flux: 0.00051129
Iterate [235]: time: 46.1030, d_loss: 1.48929393, g_loss: 6.57233143, flux: 0.00022328
Iterate [236]: time: 46.2851, d_loss: 1.28126025, g_loss: 10.00887394, flux: 0.00020488
Iterate [237]: time: 46.4657, d_loss: 1.40241563, g_loss: 3.65982389, flux: 0.00036608
Iterate [238]: time: 46.6465, d_loss: 1.68287051, g_loss: 4.27319813, flux: 0.00020895
Iterate [239]: time: 46.8271, d_loss: 1.20875442, g_loss: 5.54435205, flux: 0.00034729
Iterate [240]: time: 47.0086, d_loss: 1.47147441, g_loss: 5.16211796, flux: 0.00038350
Iterate [241]: time: 47.1895, d_loss: 1.33476770, g_loss: 4.67668581, flux: 0.00034774
Iterate [242]: time: 47.3703, d_loss: 1.28013933, g_loss: 3.04622817, flux: 0.00034420
Iterate [243]: time: 47.5509, d_loss: 1.13779736, g_loss: 3.53480959, flux: 0.00034033
Iterate [244]: time: 47.7315, d_loss: 1.69658589, g_loss: 3.54257703, flux: 0.00041525
Iterate [245]: time: 47.9126, d_loss: 1.55506122, g_loss: 16.62082481, flux: 0.00013816
Iterate [246]: time: 48.0938, d_loss: 1.32738447, g_loss: 6.24401331, flux: 0.00037829
Iterate [247]: time: 48.2745, d_loss: 0.95088154, g_loss: 4.30358791, flux: 0.00026438
Iterate [248]: time: 48.4567, d_loss: 1.39537895, g_loss: 3.23096585, flux: 0.00065800
