Iterate [182]: time: 37.1469, d_loss: 1.39424133, g_loss: 6.40443373
Iterate [183]: time: 37.3313, d_loss: 1.39880085, g_loss: 4.91265965
Iterate [184]: time: 37.5154, d_loss: 1.31031048, g_loss: 9.02102661
Iterate [185]: time: 37.6997, d_loss: 1.39337921, g_loss: 6.85188580
Iterate [186]: time: 37.8838, d_loss: 1.34758544, g_loss: 7.83154678
Iterate [187]: time: 38.0678, d_loss: 1.33049154, g_loss: 21.80810356
Iterate [188]: time: 38.2522, d_loss: 1.50837111, g_loss: 7.20901918
Iterate [189]: time: 38.4365, d_loss: 1.37643039, g_loss: 7.55486393
Iterate [190]: time: 38.6205, d_loss: 1.50409412, g_loss: 12.25367451
Iterate [191]: time: 38.8054, d_loss: 1.62015164, g_loss: 9.45014858
Iterate [192]: time: 38.9899, d_loss: 1.34278750, g_loss: 6.89769554
Iterate [193]: time: 39.1740, d_loss: 1.52574813, g_loss: 7.50116110
Iterate [194]: time: 39.3584, d_loss: 1.62956071, g_loss: 7.42366409
Iterate [195]: time: 39.5424, d_loss: 1.38910770, g_loss: 6.87301922
Iterate [196]: time: 39.7268, d_loss: 1.40226054, g_loss: 13.33300018
Iterate [197]: time: 39.9109, d_loss: 1.40834427, g_loss: 5.77444744
Iterate [198]: time: 40.0951, d_loss: 1.39840925, g_loss: 5.31372929
Iterate [199]: time: 40.2795, d_loss: 1.31854582, g_loss: 7.14056969
Iterate [200]: time: 40.4633, d_loss: 1.44564688, g_loss: 8.10058689
Iterate [201]: time: 40.6470, d_loss: 1.39109254, g_loss: 6.23329926
Iterate [202]: time: 40.8321, d_loss: 1.43238652, g_loss: 16.55223846
Iterate [203]: time: 41.0163, d_loss: 1.46040916, g_loss: 13.38908291
Iterate [204]: time: 41.2001, d_loss: 1.28433025, g_loss: 7.65519428
Iterate [205]: time: 41.3842, d_loss: 1.57507801, g_loss: 10.96650028
Iterate [206]: time: 41.5686, d_loss: 1.74368620, g_loss: 9.61846924
Iterate [207]: time: 41.7532, d_loss: 1.61410952, g_loss: 6.35718346
Iterate [208]: time: 41.9377, d_loss: 1.46230710, g_loss: 6.22888184
Iterate [209]: time: 42.1217, d_loss: 1.43660545, g_loss: 7.96783829
Iterate [210]: time: 42.3060, d_loss: 1.49996233, g_loss: 5.55216980
Iterate [211]: time: 42.4906, d_loss: 1.58126628, g_loss: 12.22000599
Iterate [212]: time: 42.6747, d_loss: 1.39100289, g_loss: 9.64755249
Iterate [213]: time: 42.8588, d_loss: 1.35647535, g_loss: 12.11733627
Iterate [214]: time: 43.0437, d_loss: 1.18994105, g_loss: 6.37923050
Iterate [215]: time: 43.2279, d_loss: 1.53630960, g_loss: 8.54811668
Iterate [216]: time: 43.4116, d_loss: 1.33884966, g_loss: 8.26695347
Iterate [217]: time: 43.5959, d_loss: 1.37288666, g_loss: 5.21887875
Iterate [218]: time: 43.7799, d_loss: 1.78679681, g_loss: 7.33564472
Iterate [219]: time: 43.9642, d_loss: 1.45424974, g_loss: 5.34809494
Iterate [220]: time: 44.1485, d_loss: 1.46059203, g_loss: 11.76925850
Iterate [221]: time: 44.3333, d_loss: 1.33143806, g_loss: 10.68833828
Iterate [222]: time: 44.5174, d_loss: 1.23064327, g_loss: 6.43010187
Iterate [223]: time: 44.7017, d_loss: 1.68654549, g_loss: 6.71218014
Iterate [224]: time: 44.8858, d_loss: 1.34655309, g_loss: 5.93381977
Iterate [225]: time: 45.0706, d_loss: 1.53402817, g_loss: 5.28720331
Iterate [226]: time: 45.2546, d_loss: 1.37905240, g_loss: 5.18191385
Iterate [227]: time: 45.4388, d_loss: 1.64238870, g_loss: 5.71667099
Iterate [228]: time: 45.6231, d_loss: 1.39763570, g_loss: 7.73100471
Iterate [229]: time: 45.8077, d_loss: 1.42220116, g_loss: 5.28508759
Iterate [230]: time: 45.9918, d_loss: 1.14742589, g_loss: 14.56422806
Iterate [231]: time: 46.1756, d_loss: 1.37913311, g_loss: 22.91569710
Iterate [232]: time: 46.3598, d_loss: 1.52845335, g_loss: 7.09411907
Iterate [233]: time: 46.5442, d_loss: 1.45715809, g_loss: 15.62849808
Iterate [234]: time: 46.7288, d_loss: 1.54959679, g_loss: 22.18936729
Iterate [235]: time: 46.9132, d_loss: 1.49926567, g_loss: 15.95443916
Iterate [236]: time: 47.0979, d_loss: 1.44939399, g_loss: 10.84483051
Iterate [237]: time: 47.2821, d_loss: 1.37207675, g_loss: 10.59490681
Iterate [238]: time: 47.4663, d_loss: 1.28679395, g_loss: 8.40531063
Iterate [239]: time: 47.6499, d_loss: 1.38516843, g_loss: 8.98142147
Iterate [240]: time: 47.8341, d_loss: 1.39374363, g_loss: 6.21716595
Iterate [241]: time: 48.0186, d_loss: 1.34424162, g_loss: 5.75996447
Iterate [242]: time: 48.2028, d_loss: 1.20177102, g_loss: 6.16361570
Iterate [243]: time: 48.3872, d_loss: 1.09483802, g_loss: 29.66970253
Iterate [244]: time: 48.5716, d_loss: 1.19748616, g_loss: 7.82363892
Iterate [245]: time: 48.7563, d_loss: 1.40553367, g_loss: 10.78323841
Iterate [246]: time: 48.9401, d_loss: 1.20521116, g_loss: 8.98582077
Iterate [247]: time: 49.1242, d_loss: 1.86452341, g_loss: 10.39607143
Iterate [248]: time: 49.3095, d_loss: 1.98510277, g_loss: 6.50866699
Iterate [249]: time: 49.4939, d_loss: 1.41358650, g_loss: 14.71615124
Iterate [250]: time: 49.6783, d_loss: 1.51506746, g_loss: 5.99852276
Iterate [251]: time: 49.8625, d_loss: 1.32631135, g_loss: 6.29787540
Iterate [252]: time: 50.0463, d_loss: 1.11810470, g_loss: 6.38410282
Iterate [253]: time: 50.2301, d_loss: 1.56739402, g_loss: 16.46465492
Iterate [254]: time: 50.4144, d_loss: 1.33361280, g_loss: 8.71207428
Iterate [255]: time: 50.5989, d_loss: 1.09689236, g_loss: 5.83275270
Iterate [256]: time: 50.7834, d_loss: 1.40027618, g_loss: 11.59618187
Iterate [257]: time: 50.9673, d_loss: 1.36237729, g_loss: 8.95700073
Iterate [258]: time: 51.1516, d_loss: 1.34978819, g_loss: 5.61868954
Iterate [259]: time: 51.3370, d_loss: 1.63824368, g_loss: 7.15099621
Iterate [260]: time: 51.5212, d_loss: 1.32991147, g_loss: 6.63208723
Iterate [261]: time: 51.7056, d_loss: 1.38480544, g_loss: 8.55772972
Iterate [262]: time: 51.8899, d_loss: 1.36882615, g_loss: 8.59632301
Iterate [263]: time: 52.0746, d_loss: 1.32027650, g_loss: 9.27213478
Iterate [264]: time: 52.2592, d_loss: 1.56225824, g_loss: 12.23543262
Iterate [265]: time: 52.4438, d_loss: 1.21845031, g_loss: 7.13043213
Iterate [266]: time: 52.6279, d_loss: 1.19200826, g_loss: 7.94025230
Iterate [267]: time: 52.8124, d_loss: 1.25545824, g_loss: 8.68577003
Iterate [268]: time: 52.9965, d_loss: 1.28151977, g_loss: 8.34227276
Iterate [269]: time: 53.1804, d_loss: 1.39984632, g_loss: 5.87043285
Iterate [270]: time: 53.3654, d_loss: 1.54329240, g_loss: 13.28614807
Iterate [271]: time: 53.5503, d_loss: 1.35628176, g_loss: 6.01722908
Iterate [272]: time: 53.7345, d_loss: 1.27838826, g_loss: 8.89239025
